종목코드,종목명,상장일,거래소,종가,시가총액
950190,미투젠,2020-08-18,KQ,23550,319127462000
142760,바이오리더스,2016-07-07,KQ,8480,243595312000
099430,바이오플러스,2021-09-27,KQ,26600,382069844800
308080,바이젠셀,2021-08-25,KQ,40900,383088608000
043150,바텍,2006-09-29,KQ,40600,601597368000
299910,베스파,2018-12-03,KQ,10450,85762272200
100120,뷰웍스,2009-04-10,KQ,41950,421078516500
090460,비에이치,2007-01-26,KQ,18600,626683996800
335890,비올,2019-12-03,KQ,2040,114415308865
082920,비츠로셀,2009-10-28,KQ,16050,346780347200
054220,비츠로시스,2001-12-26,KQ,5330,133860919270
042370,비츠로테크,2000-08-03,KQ,9040,237634226750
065450,빅텍,2003-02-05,KQ,5320,153292480000
380320,삼성머스트스팩5호,2021-06-17,KQ,4085,19528600000
038070,서린바이오,2005-10-25,KQ,22200,184275007200
006730,서부T&D,1995-10-06,KQ,8900,528589664520
357550,석경에이티,2020-12-23,KQ,20000,108827250000
003100,선광,1999-12-21,KQ,55600,366960000000
081580,성우전자,2007-10-12,KQ,2810,43577881830
252500,세화피앤씨,2016-11-02,KQ,1710,70734294950
331920,셀레믹스,2020-08-21,KQ,14950,122054012600
299660,셀리드,2019-02-20,KQ,82000,796984624800
053110,소리바다,2001-10-09,KQ,3960,19563782040
253840,수젠텍,2019-05-28,KQ,14450,220061498800
099440,스맥,2009-05-26,KQ,1595,49175374400
001000,신라섬유,1994-06-28,KQ,2430,58994422200
025870,신라에스지,1995-07-07,KQ,12600,50600000000
215600,신라젠,2016-12-06,KQ,12100,1244692212500
323280,신영스팩5호,2019-06-24,KQ,2100,7360500000
187270,신화콘텍,2014-08-08,KQ,4700,47726790725
037760,쎄니트,2000-04-07,KQ,1980,66481689765
066790,씨씨에스,2003-05-30,KQ,780,44075986155
096530,씨젠,2010-09-10,KQ,53700,2804535877800
900120,씨케이에이치,2010-03-31,KQ,307,37339396460
058220,아리온,2005-08-05,KQ,275,10717917100
036010,아비코전자,2002-07-03,KQ,11350,150874800900
054800,아이디스홀딩스,2001-09-27,KQ,13050,135555603600
214430,아이쓰리시스템,2015-07-30,KQ,16950,120104244000
001540,안국약품,2000-06-15,KQ,10050,131728442000
196170,알테오젠,2014-12-12,KQ,81100,3410724975000
270660,에브리봇,2021-07-28,KQ,23250,141419567200
060540,에스에이티,2006-11-28,KQ,2640,68730594780
007820,에스엠코어,2011-11-08,KQ,6900,138033887940
096630,에스코넥,2007-12-26,KQ,1790,117779038220
098660,에스티오,2009-04-17,KQ,2590,31627469280
054630,에이디칩스,2001-11-13,KQ,851,67992170233
239610,에이치엘사이언스,2016-10-28,KQ,36200,197890620500
353070,에이치엠씨제4호스팩,2020-07-29,KQ,2115,9115650000
071670,에이테크솔루션,2009-04-17,KQ,13900,140000000000
064510,에코마이스터,2018-03-15,KQ,2750,22321777500
173940,에프엔씨엔터,2014-12-04,KQ,11050,156577192000
067570,엔브이에이치코리아,2013-12-03,KQ,3920,128836994600
265740,엔에프씨,2020-12-02,KQ,12950,115220220000
348370,엔켐,2021-11-01,KQ,89900,1346120394300
061970,엘비세미콘,2011-01-31,KQ,12500,549496629600
058970,엠로,2021-08-13,KQ,31900,173362617000
009780,엠에스씨,1993-10-12,KQ,6280,110704000000
115960,연우,2015-11-02,KQ,24100,298171900000
014940,오리엔탈정공,2001-12-26,KQ,4285,193688059250
080580,오킨스전자,2014-12-24,KQ,22900,403971959300
067900,와이엔텍,2005-12-23,KQ,11900,217485925050
066430,와이오엠,2002-12-24,KQ,1990,31870029360
122870,와이지엔터테인먼트,2011-11-23,KQ,69800,1292739966900
