종목명,산업,섹터,종목코드
체시스,경기관련소비재,자동차와부품,33250
네오오토,경기관련소비재,자동차와부품,212560
일지테크,경기관련소비재,자동차와부품,19540
태원물산,경기관련소비재,자동차와부품,1420
KB오토시스,경기관련소비재,자동차와부품,24120
티피씨글로벌,경기관련소비재,자동차와부품,130740
디젠스,경기관련소비재,자동차와부품,113810
THE MIDONG,경기관련소비재,자동차와부품,161570
대유에이피,경기관련소비재,자동차와부품,290120
세동,경기관련소비재,자동차와부품,53060
SJM홀딩스,경기관련소비재,자동차와부품,25530
일정실업,경기관련소비재,자동차와부품,8500
대동금속,경기관련소비재,자동차와부품,20400
LG생활건강,경기관련소비재,내구소비재와의류,51900
아모레퍼시픽,경기관련소비재,내구소비재와의류,90430
코웨이,경기관련소비재,내구소비재와의류,21240
F&F,경기관련소비재,내구소비재와의류,383220
휠라홀딩스,경기관련소비재,내구소비재와의류,81660
효성티앤씨,경기관련소비재,내구소비재와의류,298020
아모레G,경기관련소비재,내구소비재와의류,2790
영원무역,경기관련소비재,내구소비재와의류,111770
코스맥스,경기관련소비재,내구소비재와의류,192820
F&F홀딩스,경기관련소비재,내구소비재와의류,7700
현대바이오,경기관련소비재,내구소비재와의류,48410
한국콜마,경기관련소비재,내구소비재와의류,161890
한섬,경기관련소비재,내구소비재와의류,20000
현대그린푸드,경기관련소비재,내구소비재와의류,5440
경동나비엔,경기관련소비재,내구소비재와의류,9450
DI동일,경기관련소비재,내구소비재와의류,1530
한세실업,경기관련소비재,내구소비재와의류,105630
신세계인터내셔날,경기관련소비재,내구소비재와의류,31430
LF,경기관련소비재,내구소비재와의류,93050
아이큐어,경기관련소비재,내구소비재와의류,175250
화승엔터프라이즈,경기관련소비재,내구소비재와의류,241590
라파스,경기관련소비재,내구소비재와의류,214260
더네이쳐홀딩스,경기관련소비재,내구소비재와의류,298540
크리스에프앤씨,경기관련소비재,내구소비재와의류,110790
영원무역홀딩스,경기관련소비재,내구소비재와의류,9970
신성델타테크,경기관련소비재,내구소비재와의류,65350
화승인더,경기관련소비재,내구소비재와의류,6060
한국콜마홀딩스,경기관련소비재,내구소비재와의류,24720
쿠쿠홈시스,경기관련소비재,내구소비재와의류,284740
골프존뉴딘홀딩스,경기관련소비재,내구소비재와의류,121440
코웰패션,경기관련소비재,내구소비재와의류,33290
현대바이오랜드,경기관련소비재,내구소비재와의류,52260
애경산업,경기관련소비재,내구소비재와의류,18250
브이티지엠피,경기관련소비재,내구소비재와의류,18290
덕성,경기관련소비재,내구소비재와의류,4830
위닉스,경기관련소비재,내구소비재와의류,44340
경방,경기관련소비재,내구소비재와의류,50
인바이오젠,경기관련소비재,내구소비재와의류,101140
쌍방울,경기관련소비재,내구소비재와의류,102280
신성통상,경기관련소비재,내구소비재와의류,5390
올리패스,경기관련소비재,내구소비재와의류,244460
새로닉스,경기관련소비재,내구소비재와의류,42600
신원,경기관련소비재,내구소비재와의류,9270
브랜드엑스코퍼레이션,경기관련소비재,내구소비재와의류,337930
아가방컴퍼니,경기관련소비재,내구소비재와의류,13990
삼성출판사,경기관련소비재,내구소비재와의류,68290
휴비스,경기관련소비재,내구소비재와의류,79980
네오팜,경기관련소비재,내구소비재와의류,92730
쿠쿠홀딩스,경기관련소비재,내구소비재와의류,192400
신일전자,경기관련소비재,내구소비재와의류,2700
오텍,경기관련소비재,내구소비재와의류,67170
일신방직,경기관련소비재,내구소비재와의류,3200
제이에스코퍼레이션,경기관련소비재,내구소비재와의류,194370
젬백스링크,경기관련소비재,내구소비재와의류,64800
NPC,경기관련소비재,내구소비재와의류,4250
국동,경기관련소비재,내구소비재와의류,5320
씨앤투스성진,경기관련소비재,내구소비재와의류,352700
글로본,경기관련소비재,내구소비재와의류,19660
